task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
79	02/13c792	3633885	pipeline:assign_features_with_stringtie:stringtie (68)	COMPLETED	0	2025-08-06 12:37:02.865	1.5s	130ms	17.1%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
70	58/50809d	3634094	pipeline:assign_features_with_stringtie:stringtie (59)	COMPLETED	0	2025-08-06 12:37:04.367	734ms	265ms	22.7%	7.4 MB	44 MB	100.7 MB	109.6 KB
78	67/bf3872	3634302	pipeline:assign_features_with_stringtie:stringtie (67)	COMPLETED	0	2025-08-06 12:37:05.107	679ms	113ms	18.6%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
81	ca/a4af82	3634509	pipeline:assign_features_with_stringtie:stringtie (70)	COMPLETED	0	2025-08-06 12:37:05.792	784ms	128ms	22.7%	2.7 MB	3.8 MB	1.4 MB	49.4 KB
82	84/404615	3634822	pipeline:assign_features_with_stringtie:stringtie (71)	COMPLETED	0	2025-08-06 12:37:06.582	665ms	115ms	17.9%	2.7 MB	3.8 MB	1.4 MB	49.4 KB
87	a2/b7449c	3635030	pipeline:assign_features_with_stringtie:stringtie (76)	COMPLETED	0	2025-08-06 12:37:07.253	657ms	116ms	18.1%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
83	e9/8f16cf	3635239	pipeline:assign_features_with_stringtie:stringtie (72)	COMPLETED	0	2025-08-06 12:37:07.916	857ms	269ms	22.2%	7.4 MB	44 MB	89.4 MB	95.2 KB
85	01/961674	3635445	pipeline:assign_features_with_stringtie:stringtie (74)	COMPLETED	0	2025-08-06 12:37:08.782	884ms	124ms	23.4%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
88	fe/366510	3635759	pipeline:assign_features_with_stringtie:stringtie (77)	COMPLETED	0	2025-08-06 12:37:09.674	756ms	252ms	13.4%	4 MB	37.2 MB	1.4 MB	49.3 KB
84	1e/33dd13	3635970	pipeline:assign_features_with_stringtie:stringtie (73)	COMPLETED	0	2025-08-06 12:37:10.436	672ms	108ms	19.1%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
89	df/7f105d	3636177	pipeline:assign_features_with_stringtie:stringtie (78)	COMPLETED	0	2025-08-06 12:37:11.115	771ms	136ms	21.7%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
86	2f/60cd27	3636495	pipeline:assign_features_with_stringtie:stringtie (75)	COMPLETED	0	2025-08-06 12:37:11.892	647ms	144ms	15.9%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
92	e4/3e8ad3	3636702	pipeline:assign_features_with_stringtie:stringtie (81)	COMPLETED	0	2025-08-06 12:37:12.545	1s	551ms	6.7%	4 MB	37.2 MB	1.4 MB	49.4 KB
94	80/c3dec4	3636911	pipeline:assign_features_with_stringtie:stringtie (83)	COMPLETED	0	2025-08-06 12:37:13.586	1.3s	758ms	5.0%	4 MB	37.2 MB	1.4 MB	49.4 KB
90	22/c7e73d	3637120	pipeline:assign_features_with_stringtie:stringtie (79)	COMPLETED	0	2025-08-06 12:37:14.855	638ms	120ms	17.6%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
97	ff/a523f7	3637302	pipeline:assign_features_with_stringtie:stringtie (86)	COMPLETED	0	2025-08-06 12:37:15.502	959ms	153ms	20.0%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
96	05/64bfd8	3637517	pipeline:assign_features_with_stringtie:stringtie (85)	COMPLETED	0	2025-08-06 12:37:16.468	1s	528ms	12.2%	7.4 MB	44 MB	82.6 MB	194.9 KB
98	40/1553ef	3637726	pipeline:assign_features_with_stringtie:stringtie (87)	COMPLETED	0	2025-08-06 12:37:17.482	785ms	155ms	14.6%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
95	4e/d7ec38	3638040	pipeline:assign_features_with_stringtie:stringtie (84)	COMPLETED	0	2025-08-06 12:37:18.273	865ms	362ms	7.3%	4 MB	37.2 MB	1.4 MB	49.4 KB
93	4c/914b82	3638248	pipeline:assign_features_with_stringtie:stringtie (82)	COMPLETED	0	2025-08-06 12:37:19.144	855ms	334ms	10.5%	4 MB	37.2 MB	1.4 MB	49.4 KB
106	a7/7f3232	3638458	pipeline:assign_features_with_stringtie:stringtie (95)	COMPLETED	0	2025-08-06 12:37:20.006	702ms	113ms	18.9%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
102	93/748e9d	3638666	pipeline:assign_features_with_stringtie:stringtie (91)	COMPLETED	0	2025-08-06 12:37:20.714	665ms	120ms	18.1%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
107	ed/81ce74	3638876	pipeline:assign_features_with_stringtie:stringtie (96)	COMPLETED	0	2025-08-06 12:37:21.386	704ms	217ms	7.6%	4 MB	37.2 MB	1.4 MB	49.3 KB
91	26/be2f90	3639085	pipeline:assign_features_with_stringtie:stringtie (80)	COMPLETED	0	2025-08-06 12:37:22.096	4.3s	2.7s	1.1%	4 MB	37.2 MB	1.4 MB	49.4 KB
110	7c/0ba565	3639404	pipeline:assign_features_with_stringtie:stringtie (99)	COMPLETED	0	2025-08-06 12:37:26.413	1s	141ms	15.9%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
100	3f/1b50a7	3639666	pipeline:assign_features_with_stringtie:stringtie (89)	COMPLETED	0	2025-08-06 12:37:27.456	1.2s	352ms	7.5%	4 MB	37.2 MB	1.4 MB	49.3 KB
111	1c/cf753a	3639876	pipeline:assign_features_with_stringtie:stringtie (100)	COMPLETED	0	2025-08-06 12:37:28.665	3.4s	219ms	15.1%	4 MB	37.2 MB	1.4 MB	49.3 KB
109	f8/702724	3640117	pipeline:assign_features_with_stringtie:stringtie (98)	COMPLETED	0	2025-08-06 12:37:32.046	3.5s	188ms	12.8%	4 MB	37.2 MB	1.4 MB	49.3 KB
114	d2/d6f187	3640331	pipeline:assign_features_with_stringtie:stringtie (103)	COMPLETED	0	2025-08-06 12:37:35.509	8.6s	7s	0.6%	4 MB	37.2 MB	1.4 MB	49.4 KB
101	5e/3f5e5f	3640869	pipeline:assign_features_with_stringtie:stringtie (90)	COMPLETED	0	2025-08-06 12:37:44.088	2.8s	112ms	25.0%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
