task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
820	1f/dd5a3a	4085771	pipeline:process_bams:create_matrix (30)	COMPLETED	0	2025-08-06 13:23:56.725	9.9s	9.3s	82.9%	264.1 MB	2.1 GB	34.6 MB	16.7 MB
493	50/12ddbd	4090698	pipeline:assign_features_with_stringtie:align_to_transcriptome (102)	COMPLETED	0	2025-08-06 13:24:06.177	1.2s	409ms	89.6%	2.7 MB	3.8 MB	3.7 MB	3.5 MB
494	24/a97f8c	4091447	pipeline:assign_features_with_stringtie:align_to_transcriptome (103)	COMPLETED	0	2025-08-06 13:24:07.405	1.1s	109ms	19.1%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
495	89/3df670	4091847	pipeline:assign_features_with_stringtie:align_to_transcriptome (104)	COMPLETED	0	2025-08-06 13:24:08.469	803ms	185ms	17.0%	8.6 MB	2.5 GB	124.1 KB	1.5 KB
496	93/b20242	4092176	pipeline:assign_features_with_stringtie:align_to_transcriptome (105)	COMPLETED	0	2025-08-06 13:24:09.277	755ms	94ms	27.4%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
826	ba/ac614b	4090665	pipeline:assign_features_with_stringtie:assign_features (36)	COMPLETED	0	2025-08-06 13:24:06.058	4.2s	3.6s	73.5%	108.3 MB	1.9 GB	15.7 MB	1.4 KB
497	5d/487c16	4092513	pipeline:assign_features_with_stringtie:align_to_transcriptome (106)	COMPLETED	0	2025-08-06 13:24:10.039	859ms	160ms	14.0%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
828	3c/8214e5	4091025	pipeline:assign_features_with_stringtie:assign_features (37)	COMPLETED	0	2025-08-06 13:24:06.586	5s	4.1s	64.7%	96.9 MB	1.9 GB	15.9 MB	1.4 KB
498	e6/ce6a1a	4092979	pipeline:assign_features_with_stringtie:align_to_transcriptome (107)	COMPLETED	0	2025-08-06 13:24:10.903	793ms	103ms	18.9%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
827	f5/ce703b	4090730	pipeline:process_bams:create_matrix (33)	COMPLETED	0	2025-08-06 13:24:06.214	6s	5.4s	84.8%	209.4 MB	2.1 GB	30.9 MB	12.6 KB
499	a3/4404f8	4093352	pipeline:assign_features_with_stringtie:align_to_transcriptome (108)	COMPLETED	0	2025-08-06 13:24:11.702	813ms	76ms	23.0%	2.7 MB	3.8 MB	129.2 KB	4.9 KB
825	7f/c33d12	4089978	pipeline:process_bams:create_matrix (32)	COMPLETED	0	2025-08-06 13:24:04.774	8.1s	7.6s	62.1%	209.7 MB	2.1 GB	30.9 MB	7.2 KB
500	a8/43ad3c	4093779	pipeline:assign_features_with_stringtie:align_to_transcriptome (109)	COMPLETED	0	2025-08-06 13:24:12.527	748ms	101ms	25.3%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
501	6f/ca4c2e	4094381	pipeline:assign_features_with_stringtie:align_to_transcriptome (110)	COMPLETED	0	2025-08-06 13:24:13.280	944ms	213ms	11.5%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
502	97/41f45a	4094709	pipeline:assign_features_with_stringtie:align_to_transcriptome (111)	COMPLETED	0	2025-08-06 13:24:14.231	733ms	90ms	20.4%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
503	9e/f3abec	4095093	pipeline:assign_features_with_stringtie:align_to_transcriptome (112)	COMPLETED	0	2025-08-06 13:24:14.971	701ms	128ms	15.9%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
829	98/f05151	4092645	pipeline:process_bams:create_matrix (34)	COMPLETED	0	2025-08-06 13:24:10.295	6.7s	5.5s	77.0%	199.4 MB	2 GB	30.9 MB	7.2 KB
831	36/2cee04	4093734	pipeline:assign_features_with_stringtie:assign_features (38)	COMPLETED	0	2025-08-06 13:24:12.241	4.8s	3.9s	68.7%	146.7 MB	3.5 GB	25.1 MB	143.8 KB
504	44/4946cb	4095466	pipeline:assign_features_with_stringtie:align_to_transcriptome (113)	COMPLETED	0	2025-08-06 13:24:15.679	1.6s	1.1s	206.2%	69.1 MB	3.2 GB	22.6 MB	23.2 MB
505	7a/4b12ee	4096087	pipeline:assign_features_with_stringtie:align_to_transcriptome (114)	COMPLETED	0	2025-08-06 13:24:17.290	1.1s	254ms	15.9%	2.7 MB	3.8 MB	342.1 KB	217.3 KB
830	c3/aa6b77	4093306	pipeline:process_bams:create_matrix (35)	COMPLETED	0	2025-08-06 13:24:11.574	7.4s	6.8s	65.4%	199.4 MB	2 GB	30.9 MB	15.6 KB
506	dc/a96580	4096683	pipeline:assign_features_with_stringtie:align_to_transcriptome (115)	COMPLETED	0	2025-08-06 13:24:18.397	801ms	106ms	11.9%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
507	25/f33bb8	4097046	pipeline:assign_features_with_stringtie:align_to_transcriptome (116)	COMPLETED	0	2025-08-06 13:24:19.204	911ms	98ms	19.3%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
832	b5/76c76e	4094008	pipeline:process_bams:create_matrix (36)	COMPLETED	0	2025-08-06 13:24:12.910	7.3s	6.6s	72.3%	202.8 MB	2 GB	30.9 MB	7.9 KB
508	c8/e02029	4097534	pipeline:assign_features_with_stringtie:align_to_transcriptome (117)	COMPLETED	0	2025-08-06 13:24:20.127	835ms	97ms	24.6%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
509	ca/f8fbc3	4098043	pipeline:assign_features_with_stringtie:align_to_transcriptome (118)	COMPLETED	0	2025-08-06 13:24:20.967	837ms	104ms	18.7%	2.7 MB	3.8 MB	177.8 KB	55.7 KB
510	0d/e07c3b	4098364	pipeline:assign_features_with_stringtie:align_to_transcriptome (119)	COMPLETED	0	2025-08-06 13:24:21.814	968ms	124ms	17.0%	2.7 MB	3.8 MB	132.7 KB	7.3 KB
511	0b/1c4538	4098770	pipeline:assign_features_with_stringtie:align_to_transcriptome (120)	COMPLETED	0	2025-08-06 13:24:22.787	1.1s	132ms	26.8%	2.7 MB	3.8 MB	199.4 KB	78.2 KB
833	0c/7d8306	4095988	pipeline:process_bams:create_matrix (37)	COMPLETED	0	2025-08-06 13:24:17.035	6.9s	6.2s	71.5%	209.7 MB	2.1 GB	30.9 MB	7.5 KB
835	44/49f806	4096916	pipeline:assign_features_with_stringtie:assign_features (39)	COMPLETED	0	2025-08-06 13:24:18.988	5s	4.1s	70.4%	151.1 MB	2.8 GB	46 MB	852.1 KB
834	17/f125df	4096089	pipeline:process_bams:create_matrix (38)	COMPLETED	0	2025-08-06 13:24:17.294	7s	6.4s	75.1%	186.6 MB	2 GB	31.1 MB	665.6 KB
512	2e/de6149	4099250	pipeline:assign_features_with_stringtie:align_to_transcriptome (121)	COMPLETED	0	2025-08-06 13:24:23.889	919ms	144ms	20.1%	2.7 MB	3.8 MB	208.9 KB	84.2 KB
836	5a/c66143	4097546	pipeline:assign_features_with_stringtie:assign_features (40)	COMPLETED	0	2025-08-06 13:24:20.181	4.8s	4s	64.5%	126.2 MB	1.9 GB	16.1 MB	6.4 KB
513	f1/499eb1	4100033	pipeline:assign_features_with_stringtie:align_to_transcriptome (122)	COMPLETED	0	2025-08-06 13:24:24.815	1.1s	123ms	17.3%	2.7 MB	3.8 MB	177.4 KB	52.5 KB
514	5e/b1ec8f	4100592	pipeline:assign_features_with_stringtie:align_to_transcriptome (123)	COMPLETED	0	2025-08-06 13:24:25.892	777ms	118ms	23.3%	2.7 MB	3.8 MB	216.6 KB	93.1 KB
515	64/6f0d0c	4100873	pipeline:assign_features_with_stringtie:align_to_transcriptome (124)	COMPLETED	0	2025-08-06 13:24:26.692	683ms	89ms	14.6%	2.7 MB	3.8 MB	154.1 KB	22.4 KB
838	f8/62a580	4099288	pipeline:assign_features_with_stringtie:assign_features (42)	COMPLETED	0	2025-08-06 13:24:23.993	3.6s	3s	90.7%	123.6 MB	1.9 GB	15.7 MB	1.4 KB
516	f3/157449	4101251	pipeline:assign_features_with_stringtie:align_to_transcriptome (125)	COMPLETED	0	2025-08-06 13:24:27.395	767ms	131ms	22.9%	2.7 MB	3.8 MB	219.8 KB	94.8 KB
837	b1/36f17a	4099285	pipeline:assign_features_with_stringtie:assign_features (41)	COMPLETED	0	2025-08-06 13:24:23.986	4.3s	3.7s	72.7%	181.1 MB	3.8 GB	16.5 MB	4.7 KB
839	de/01951d	4099630	pipeline:assign_features_with_stringtie:assign_features (43)	COMPLETED	0	2025-08-06 13:24:24.340	4.1s	3.5s	76.2%	122.5 MB	1.9 GB	16.7 MB	6.6 KB
517	5a/b85a13	4101885	pipeline:assign_features_with_stringtie:align_to_transcriptome (126)	COMPLETED	0	2025-08-06 13:24:28.168	677ms	75ms	31.1%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
518	98/46a1c5	4102279	pipeline:assign_features_with_stringtie:align_to_transcriptome (127)	COMPLETED	0	2025-08-06 13:24:28.851	961ms	199ms	10.6%	0	0	124.1 KB	1.5 KB
519	f6/686a4c	4102718	pipeline:assign_features_with_stringtie:align_to_transcriptome (128)	COMPLETED	0	2025-08-06 13:24:29.818	696ms	92ms	13.2%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
520	bc/959333	4103032	pipeline:assign_features_with_stringtie:align_to_transcriptome (129)	COMPLETED	0	2025-08-06 13:24:30.519	768ms	100ms	12.8%	2.7 MB	3.8 MB	126.9 KB	3.4 KB
841	98/805b26	4101374	pipeline:assign_features_with_stringtie:assign_features (44)	COMPLETED	0	2025-08-06 13:24:27.610	3.9s	3.4s	81.5%	123.1 MB	1.9 GB	16.5 MB	12.9 KB
521	91/769105	4103413	pipeline:assign_features_with_stringtie:align_to_transcriptome (130)	COMPLETED	0	2025-08-06 13:24:31.294	767ms	87ms	18.7%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
522	27/08974f	4103900	pipeline:assign_features_with_stringtie:align_to_transcriptome (131)	COMPLETED	0	2025-08-06 13:24:32.066	822ms	94ms	21.1%	2.7 MB	3.8 MB	124.1 KB	1.5 KB
840	67/bba2fb	4100066	pipeline:process_bams:create_matrix (39)	COMPLETED	0	2025-08-06 13:24:24.945	8.1s	7.3s	75.9%	227.2 MB	2.1 GB	32 MB	13.3 MB
843	a4/443386	4102020	pipeline:assign_features_with_stringtie:assign_features (45)	COMPLETED	0	2025-08-06 13:24:28.451	4.6s	4s	66.5%	183.2 MB	3.8 GB	16.4 MB	6.2 KB
523	cf/061329	4104304	pipeline:assign_features_with_stringtie:align_to_transcriptome (132)	COMPLETED	0	2025-08-06 13:24:32.893	756ms	93ms	27.1%	2.7 MB	3.8 MB	127 KB	3.4 KB
842	e0/04517c	4101933	pipeline:process_bams:create_matrix (40)	COMPLETED	0	2025-08-06 13:24:28.269	6.4s	5.7s	77.9%	197.3 MB	2 GB	30.9 MB	16.3 KB
