ImageNumber,ObjectNumber,FileName_Brightfield,FileName_Fluorescence,PathName_Brightfield,PathName_Fluorescence,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Fluorescence,Intensity_IntegratedIntensity_Fluorescence,Intensity_LowerQuartileIntensity_Fluorescence,Intensity_MADIntensity_Fluorescence,Intensity_MassDisplacement_Fluorescence,Intensity_MaxIntensityEdge_Fluorescence,Intensity_MaxIntensity_Fluorescence,Intensity_MeanIntensityEdge_Fluorescence,Intensity_MeanIntensity_Fluorescence,Intensity_MedianIntensity_Fluorescence,Intensity_MinIntensityEdge_Fluorescence,Intensity_MinIntensity_Fluorescence,Intensity_StdIntensityEdge_Fluorescence,Intensity_StdIntensity_Fluorescence,Intensity_UpperQuartileIntensity_Fluorescence,Location_CenterMassIntensity_X_Fluorescence,Location_CenterMassIntensity_Y_Fluorescence,Location_CenterMassIntensity_Z_Fluorescence,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_Fluorescence,Location_MaxIntensity_Y_Fluorescence,Location_MaxIntensity_Z_Fluorescence,Number_Object_Number,Parent_HighSignalRegions
13,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-121_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-121_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,63579,801520,2217,1208,1285,348,1644.3153871561365,843.2903474417653,86.959290702465,509539,0.5750934714669665,284.5194141262014,73,0.0793230362311608,0.011499633816259422,746.6163833691088,941.4887147491467,30.4138126514911,6.539304689025517,5.0,767.8905082363578,610.7976863255252,-42.89354163877903,8335.271929261862,0.12477749495131873,640.3413081541657,7073.278128795326,0.09203764796257019,0.010388627648353577,5.6496590714137795,0.08978274464607239,0.3588482141494751,0.08703837272722112,0.11125179900274187,0.10017137229442596,0.06537450850009918,0.06537450850009918,0.0029760301683072286,0.0280944332589755,0.12149137258529663,1639.8484692040752,839.8312591756523,0.0,1644.3153871561365,843.2903474417653,1516.0,900.0,0.0,1,68
14,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_2-Image Export-122_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_2-Image Export-122_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1064986,1839384,2436,1777,1137,361,1787.2548897356396,1141.5283956784408,18.007762154567967,1374509,0.5209194009018413,1164.466525834608,38,0.5789905751055788,0.05553160861502902,1287.4166247174048,1483.5430563350699,395.60207279537855,118.23386621111557,94.86832980505137,1243.7082648078729,1098.946385329063,-32.08537304734996,15524.11153446687,0.774811951031241,2634.81500685215,352614.9299372509,0.20875921845436096,0.10212861001491547,13.902729158591537,0.2118474543094635,0.7401474118232727,0.1969660616619683,0.33109818339137875,0.29153215885162354,0.13692548871040344,0.019638430327177048,0.009580308644245953,0.17898500782193355,0.4340607821941376,1794.7229181140626,1129.8017409893907,0.0,1787.2548897356396,1141.5283956784408,1978.0,1314.0,0.0,1,18
15,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-123_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-123_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,12215,563200,2011,1401,1211,697,1601.3577568563242,983.0351207531724,31.143952606421777,294158,0.6459493370907076,124.71014809926261,24,0.021688565340909093,0.03210896229638506,660.7795114518403,807.376615960606,30.23243291566195,5.491488745345978,3.605551275463989,563.2702980392091,504.4260493442743,53.99153825933014,2186.444876303172,0.041525302728465656,171.21799401193857,1278.7843469530344,0.0911894142627716,0.004494905471801758,13.887779378857484,0.08978274464607239,0.16946744918823242,0.08771413627660787,0.10468967228432537,0.09427765011787415,0.07098548859357834,0.07098548859357834,0.002539313980092639,0.021321617352723813,0.10942117869853973,1591.8407742784682,972.9209001362091,0.0,1601.3577568563242,983.0351207531724,1489.0,876.0,0.0,1,3
16,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-124_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-124_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1015753,1698930,2458,1734,1141,444,1782.4275557148244,1083.1503544660957,9.176612021473721,1246240,0.37177019763994745,1137.2321167129319,23,0.5978780762009029,0.10897267942242202,1190.3622111156258,1401.6447481441223,478.7535900648683,146.17445434142556,120.59850745345068,1174.7905757438564,1105.0427524905162,-29.125429139373548,10822.813485483814,0.8150540826807036,1965.6841995120049,357805.4325421378,0.23904627561569214,0.08724509179592133,16.714472865023854,0.23540744185447693,0.7429301738739014,0.21030108050839894,0.35225633844265075,0.3080745041370392,0.1624576449394226,0.042647842317819595,0.006666105427669859,0.15726530938933064,0.44613882899284363,1795.53673207499,1093.519688982529,0.0,1782.4275557148244,1083.1503544660957,1963.0,1330.0,0.0,1,6
17,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-125_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-125_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,59992,662580,2041,1361,1231,543,1719.4933991198827,910.8678823843179,66.64853021523996,450627,0.7286943033369593,276.3768926081772,50,0.09054302876633764,0.015004081812014791,771.6888073329673,906.831847698348,31.827660925679098,6.9005053126303935,5.385164807134504,673.8059341448127,528.4826792215525,-53.183530140254426,7088.378351510912,0.13313006100389013,555.9568157866597,6492.370490834117,0.09203764796257019,0.007583141326904297,10.170251498852624,0.09427765011787415,0.277787446975708,0.08809329991865944,0.10822060426113676,0.09736588597297668,0.07687921822071075,0.07379097491502762,0.0021293326788644333,0.026835244760068586,0.11224156618118286,1727.089758215249,904.1055348596665,0.0,1719.4933991198827,910.8678823843179,1983.0,654.0,0.0,1,14
18,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-126_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-126_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1126007,1895715,2303,1895,1076,350,1686.2251158296529,1118.923305983,15.93000873163463,1441198,0.567941533826656,1197.3623678939498,30,0.5939748327148332,0.062774604637482,1350.0146541275456,1562.1216341885802,365.16845427829605,114.6076935832662,92.28217596047462,1207.2261956134273,1111.1550763627208,-18.8150524263963,15013.553093239712,0.7812993079368692,2725.913996145129,372222.6315904502,0.2138047069311142,0.10073685646057129,4.126359729325506,0.22306941449642181,0.7412407994270325,0.21064168117959425,0.33056866572805516,0.2892921566963196,0.1478646993637085,0.027481568977236748,0.009186331819997484,0.17707096340956557,0.43126311898231506,1684.2116825866603,1115.3215104319156,0.0,1686.2251158296529,1118.923305983,1916.0,1373.0,0.0,1,24
19,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-127_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-127_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,331476,1080576,2305,1382,1233,374,1772.2415891346584,847.0139406774548,50.491378790594474,748199,0.5917601623244119,649.6524850492244,63,0.3067586176261549,0.019805361310241736,830.9939085391434,1072.6793556324276,178.22738285684386,42.01802673697493,24.413111231467404,948.860385022379,669.875890228213,-61.59579868652289,14502.39039614295,0.44303186719041326,1108.086375016719,42676.23155167699,0.09484314173460007,0.01992117613554001,8.822924294386318,0.10128744691610336,0.4682921767234802,0.08703843963684857,0.12874606774450334,0.11167607456445694,0.06228627637028694,0.03647137060761452,0.003210887043907012,0.051105462823977425,0.14281921088695526,1764.588419972228,851.4040425983327,0.0,1772.2415891346584,847.0139406774548,1517.0,784.0,0.0,1,28
20,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image Export-128_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image Export-128_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,967567,1697916,2401,1814,1047,560,1771.563901001171,1203.7879299314673,11.92142128116873,1225814,0.5438341290668746,1109.9299827379957,17,0.5698556347899425,0.08388261570620076,1238.4677490012955,1421.5924169747109,361.64347083833826,101.89605713113414,80.75270893288967,1184.431452903236,1039.3131327603282,48.54648400680475,12039.528347684576,0.789326113097093,1950.824639737606,326459.11462372914,0.22026392817497253,0.09736591577529907,10.515365569505159,0.21463018655776978,0.7395819425582886,0.18757929228246212,0.3374020761598206,0.30612507462501526,0.12148430943489075,0.017666272819042206,0.009550701904319664,0.15906262450917644,0.4307047128677368,1761.7915163514429,1199.9054807923164,0.0,1771.563901001171,1203.7879299314673,1675.0,920.0,0.0,1,3
21,1,EF5Day13-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere1-Image Export-107_c4.jpg,EF5Day13-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere1-Image Export-107_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,729506,1812070,2241,1661,863,346,1607.6882424544829,886.8207362242395,22.56206477299658,1368896,0.5486941725089419,963.7613227981135,66,0.40258157797436084,0.044322184607715975,1092.1220821596892,1663.3321977284033,347.588837565305,101.64839485189027,79.64923100695951,1136.8274675808227,913.0393418217054,-53.30291439508042,14381.652372813827,0.5329155757632428,1233.4309839457273,176678.06668845564,0.13887488842010498,0.07183372974395752,34.75450106473641,0.1428113728761673,0.7362486124038696,0.09825786536650422,0.2421886409274984,0.19753725826740265,0.07716196030378342,0.05386980623006821,0.00402090077383972,0.1366666940921992,0.3092133402824402,1617.4816434668019,920.1668700461786,0.0,1607.6882424544829,886.8207362242395,1680.0,848.0,0.0,1,8
22,1,EF5Day13-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-108_c4.jpg,EF5Day13-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-108_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,527590,1460420,2263,1768,893,702,1391.76528743911,1280.3212001743777,44.88459710061175,1025699,0.6457485319490966,819.6026179843648,63,0.3612590898508648,0.022279357833121124,1110.058005403273,1383.1015870137667,190.68560512005095,53.53572604350141,38.07886552931954,993.3150829156909,847.584957930439,47.710516028420145,17250.507458066015,0.5143711751693235,1316.0712910369039,98807.83186126873,0.108587846159935,0.06171293556690216,33.4776935518735,0.09819921851158142,0.7334282398223877,0.08697272607962621,0.1872814720924747,0.1633058786392212,0.056392550468444824,0.03225921839475632,0.0035306281945073317,0.09553871840987015,0.24101842939853668,1358.2981668471512,1279.4798887953727,0.0,1391.76528743911,1280.3212001743777,1468.0,1501.0,0.0,1,7
24,1,EF5Day13-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-110_c4.jpg,EF5Day13-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-110_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,627655,1586520,2200,1733,796,603,1413.446348710677,1217.7537373238483,72.81112846589346,1176694,0.5237779168334421,893.9547899366884,75,0.3956174520333812,0.013734164283258223,1204.9175158205278,1404.3254608530033,179.96944185055418,43.37924950807619,29.0,1128.645854059355,1026.4148356205592,62.87978094641393,23964.275815990408,0.533405456303848,1798.2861908525229,122504.18317805976,0.1032596081495285,0.048541560769081116,60.767695860835794,0.0965176522731781,0.7429003715515137,0.086104198748026,0.19517757873044866,0.14281921088695526,0.05049882456660271,0.017666272819042206,0.004202689381877517,0.1310134917819197,0.24493999779224396,1357.352611516311,1241.1247772622944,0.0,1413.446348710677,1217.7537373238483,1627.0,1594.0,0.0,1,9
25,1,EF5Day13-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-111_c4.jpg,EF5Day13-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-111_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,365331,1268496,2218,1412,1114,263,1648.8044704665085,894.8414150455341,72.3800610091965,949359,0.6107183291713487,682.0219029603388,102,0.2880032731675938,0.013815959617289375,885.0111217258009,1298.9245551609224,189.70766985021982,41.390070922226485,20.615528128088304,1037.6866173930064,700.7942125657413,-20.057567401494993,18228.782674066235,0.38481859865446055,1398.2688880115747,45702.16067605838,0.09427765011787415,0.017949022352695465,7.60843023182762,0.11756980419158936,0.4248109757900238,0.08736996300997094,0.1250979541184799,0.11167607456445694,0.0678972527384758,0.04516274109482765,0.0027372285316366917,0.04363623825884476,0.1405792236328125,1651.431446328453,901.9819478277115,0.0,1648.8044704665085,894.8414150455341,1784.0,1004.0,0.0,1,61
26,1,EF5Day13-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-112_c4.jpg,EF5Day13-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-112_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,799398,2460984,2457,1780,776,316,1474.861811012787,1172.620289267674,29.545613606759957,1504700,0.4845223196263336,1008.8732058996312,56,0.3248286051433085,0.03384597163252696,1124.8196987465112,1685.8232410309213,362.2181663031273,101.1965214421725,76.27581530209953,1260.0031532337434,983.9685374168484,55.92312327461074,17227.92480968997,0.5312673622649033,1330.6840713769197,163583.73291816283,0.108587846159935,0.05667528510093689,51.021296791231336,0.11559765040874481,0.7390015125274658,0.08873001742861371,0.20463365297156463,0.1546066701412201,0.06480901688337326,0.013171372935175896,0.003411483636420999,0.14944775306781521,0.25111648440361023,1430.680666177863,1198.138893605184,0.0,1474.861811012787,1172.620289267674,1770.0,1187.0,0.0,1,11
