ImageNumber,ObjectNumber,FileName_Brightfield,FileName_Fluorescence,PathName_Brightfield,PathName_Fluorescence,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Fluorescence,Intensity_IntegratedIntensity_Fluorescence,Intensity_LowerQuartileIntensity_Fluorescence,Intensity_MADIntensity_Fluorescence,Intensity_MassDisplacement_Fluorescence,Intensity_MaxIntensityEdge_Fluorescence,Intensity_MaxIntensity_Fluorescence,Intensity_MeanIntensityEdge_Fluorescence,Intensity_MeanIntensity_Fluorescence,Intensity_MedianIntensity_Fluorescence,Intensity_MinIntensityEdge_Fluorescence,Intensity_MinIntensity_Fluorescence,Intensity_StdIntensityEdge_Fluorescence,Intensity_StdIntensity_Fluorescence,Intensity_UpperQuartileIntensity_Fluorescence,Location_CenterMassIntensity_X_Fluorescence,Location_CenterMassIntensity_Y_Fluorescence,Location_CenterMassIntensity_Z_Fluorescence,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_Fluorescence,Location_MaxIntensity_Y_Fluorescence,Location_MaxIntensity_Z_Fluorescence,Number_Object_Number,Parent_WholeSphere
11,1,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere3-Image Export-101_c4.jpg,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere3-Image Export-101_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1424407,2138886,2360,1727,893,269,1696.0110144081011,1058.3979319113146,3.1262636217487243,1496714,0.5101437295242172,1346.7038724966892,1,0.665957418955475,0.31987065743375614,1469.4604790939943,1482.1605850919125,584.0975945850146,194.15634281873614,168.37161280928564,1244.3602311355667,1263.8670394344422,-35.75557223099753,7480.571531879723,0.9516895011338171,95.75886952318251,48198.51386051485,0.025532158091664314,0.005893722176551819,39.27607220500735,0.046301569789648056,0.11334273964166641,0.014908745060436324,0.033837599689214425,0.03423137217760086,0.005893725901842117,0.005610980559140444,0.007721016447623797,0.010371782518277754,0.039559606462717056,1709.53047212695,1021.5220033014313,0.0,1696.0110144081011,1058.3979319113146,1603.0,996.0,0.0,1,1
12,1,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-102_c4.jpg,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-102_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1815695,2483904,2366,1896,844,264,1591.1279989205236,1057.693910596218,4.808883974317983,1894096,0.37537503607533956,1520.465282463862,1,0.7309843697663033,0.20794845651101912,1581.1524588009224,1633.010104071619,697.5514317955343,231.67337571486277,200.9601950635996,1489.1402699580997,1465.5275435555357,-20.761193950395796,10474.867309352976,0.9586076946469451,209.8602993520908,108497.86510986742,0.042647842317819595,0.011221960186958313,37.057404717095515,0.0757552906870842,0.7303854823112488,0.023099647699734816,0.059755556472792744,0.05162980407476425,0.005610980559140444,0.005610980559140444,0.01589947146930578,0.035771585292017884,0.06537450850009918,1554.1920669517735,1054.695882249708,0.0,1591.1279989205236,1057.693910596218,1596.0,1230.0,0.0,1,1
13,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-121_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-121_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1398698,1927626,2248,1717,877,311,1565.209335396204,1042.5533446104878,4.316450809734294,1471557,0.5479625059953585,1334.495262165431,1,0.7256065232571048,0.23167181651759786,1464.4516343206615,1499.939332106469,569.0035149276321,196.17610413036067,171.64206943520577,1243.181139477796,1225.0180305411811,38.97890235887933,8710.243717499616,0.9504884961982445,156.27974914573133,71434.43306764029,0.0373196043074131,0.011221960186958313,59.80157376101104,0.11167607456445694,0.3588482141494751,0.020636438550869052,0.05107209209396188,0.045736078172922134,0.005610980559140444,0.005610980559140444,0.015426697128378472,0.021196755723185468,0.060046274214982986,1584.9193404038092,986.0932354457525,0.0,1565.209335396204,1042.5533446104878,1516.0,900.0,0.0,1,2
14,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_2-Image Export-122_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_2-Image Export-122_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,2872919,4025050,2662,2076,687,38,1686.1790064390955,1061.8684226739424,8.091307097932997,3000697,0.6242942296449397,1912.5674052490278,0,0.7137598290704463,0.12358942602184259,2182.10498056672,2216.963012772202,685.4815825388746,223.0904212759051,195.0,1681.3150719453893,1704.6370516774123,-42.260699643671295,17091.334152087205,0.9574172267309895,659.6956546977162,473253.63808207307,0.05106431618332863,0.037870198488235474,99.28756348425881,0.6228839159011841,0.7401474118232727,0.04452288956588488,0.16472919636163535,0.0799674466252327,0.008416470140218735,0.008416470140218735,0.0605954605444746,0.16829932592262714,0.22727373242378235,1774.6136414519485,1107.0052767156697,0.0,1686.1790064390955,1061.8684226739424,1978.0,1314.0,0.0,1,4
15,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-123_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-123_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1017088,1479492,2155,1659,958,423,1539.4841174018375,1056.5940734725018,4.4668728809972915,1095372,0.5569652985973575,1137.9792010733752,1,0.6874575867933047,0.22387026150982298,1254.4042858399987,1291.4104692157332,464.6633189740718,157.92340492684409,136.23509092741122,1087.625755869416,1041.8276225659993,36.77818408893831,7555.896387667001,0.9285320420825072,120.62691089324653,55135.84038238134,0.045736078172922134,0.008981958031654358,22.11335369136157,0.0659400001168251,0.17776940762996674,0.018481218154319985,0.054209508304474484,0.05386980623006821,0.008416470140218735,0.008416470140218735,0.008004519203480102,0.015961062639334708,0.06537450850009918,1558.5328564865722,1045.3626020301238,0.0,1539.4841174018375,1056.5940734725018,1496.0,1328.0,0.0,1,1
16,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-124_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-124_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,821194,1784120,1622,2049,673,169,1115.6504626190645,1101.6127723777815,10.665573600997952,1240037,0.9101461122795012,1022.5344369258413,1,0.4602795776068874,0.09375960800705856,1986.952021245878,1881.154166994295,211.62466774929618,75.35237584846081,68.15423684555495,875.5833211292247,823.1691976068527,-7.337493409176846,10491.073370113638,0.6622334656143325,803.081228482537,53194.47594917007,0.04321333020925522,0.008416473865509033,70.06252974075974,0.7295372486114502,0.7320521473884583,0.08834776991007007,0.06477699051523765,0.04965764656662941,0.009249803610146046,0.009249803610146046,0.11299499309867825,0.05682455783191849,0.06285176426172256,1178.8391836481521,1071.348212107013,0.0,1115.6504626190645,1101.6127723777815,1476.0,679.0,0.0,1,1
17,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-125_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-125_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1227453,1688490,2289,1694,1004,380,1643.4156867920808,1043.4848136751468,4.293364598476032,1301097,0.4757750342971535,1250.1366720898197,1,0.7269530764173907,0.23291755849362503,1336.3263386105186,1397.8301041256766,549.7026468919356,184.3340950080206,160.0,1212.951272957574,1175.3885556998137,38.7418006525651,8137.785781335846,0.9433985321617067,104.76220228616148,70671.24253606563,0.045736078172922134,0.011221960186958313,34.30011961652267,0.04348117485642433,0.277787446975708,0.014742781070385798,0.057575518195862194,0.05695803835988045,0.005610980559140444,0.005610980559140444,0.00488348429017655,0.020357263496145278,0.06929607689380646,1647.5522991117602,1009.4350465067147,0.0,1643.4156867920808,1043.4848136751468,1983.0,654.0,0.0,1,1
18,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-126_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-126_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,3230725,4503366,2588,2179,506,16,1575.895617547145,1092.683448451973,3.89687287703877,3328863,0.574292170452948,2028.1732737033365,1,0.7174022719894407,0.25661601790815897,2244.222464747747,2284.7827030157596,888.2843013360081,311.32024590272295,272.34720486907884,1833.881737907367,1837.233653456909,-38.12777240055904,12578.042199758558,0.9705190631155443,254.2705267565325,519014.1594579462,0.04965764656662941,0.03760235384106636,75.71230251730192,0.0659400001168251,0.7412407994270325,0.023396257522684257,0.1606494391995438,0.07716196030378342,0.008416470140218735,0.008416470140218735,0.011311159700379676,0.16561752049278142,0.2225039154291153,1649.9075521912296,1108.6392086253777,0.0,1575.895617547145,1092.683448451973,1916.0,1373.0,0.0,1,3
19,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-127_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-127_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1650102,2379234,2425,1810,874,276,1640.59069681753,1072.231771732899,5.485567901629027,1747655,0.4989252086033746,1449.4740836753797,1,0.6935433841311952,0.18229653117647746,1562.8707418503145,1604.6887548680586,623.1733306231903,209.89025718643956,181.64801127455263,1361.0801304014385,1354.4541863810616,39.717008743797294,10665.252085663826,0.9441806306164546,202.49437374295667,111316.45802830206,0.045736078172922134,0.014310196042060852,84.42288792967852,0.08025018870830536,0.4682921767234802,0.021792334668850267,0.06746034974098696,0.05695803835988045,0.005610980559140444,0.002805490279570222,0.011933619885574351,0.04082370946560683,0.07716196030378342,1674.1759701283027,994.7769240923042,0.0,1640.59069681753,1072.231771732899,1517.0,784.0,0.0,1,4
20,1,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image Export-128_c4.jpg,EF5Day13-13_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image Export-128_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,2611652,3688872,2598,2054,640,170,1597.0086466343907,1107.7650479466636,18.747010900176363,2767114,0.39246004414745483,1823.5291616770699,1,0.7079811931669084,0.05334183701736646,1905.83996773455,1977.3833720348719,814.6029707777894,265.118610582025,228.26519664635694,1799.2176742194042,1752.9326252882274,-69.59914648685157,24804.39287791347,0.9438179995475431,1020.5502197984606,434549.4916624464,0.045736078172922134,0.046018827706575394,136.28484579024783,0.4404972493648529,0.7395819425582886,0.04683571453870861,0.16638874232188913,0.0833384320139885,0.008981959894299507,0.008981959894299507,0.04587483362199389,0.16554095078977438,0.24327333271503448,1717.2235304671945,1171.9673913395425,0.0,1597.0086466343907,1107.7650479466636,1675.0,920.0,0.0,1,3
